BldgUniqueID,CentroidX,CentroidY,StructureUse
NJBF000079059,-74.50079287,39.40925268,5501
NJBF000084432,-75.16411413,39.4624526,5517
NJBF000085263,-75.02827086,39.47855571,5514
NJBF000084559,-74.71979952,39.46562584,5509
NJBF000083234,-74.51922425,39.44002338,5513
NJBF000110548,-75.023497,39.83436113,5513
NJBF000102954,-75.09264852,39.73879377,5520
NJBF000085604,-75.21380854,39.49580004,5503
NJBF000085015,-75.04357207,39.47261027,5503
NJBF000085268,-74.71640726,39.47899714,5503
NJBF000085646,-74.52913099,39.49795459,5511
NJBF000085643,-74.52988365,39.49792366,5511
NJBF000085550,-74.94886879,39.49318849,5517
NJBF000121231,-75.13235046,39.93236596,5515
NJBF000121331,-75.12538695,39.93360106,5517
NJBF000107953,-75.01588483,39.82005067,5514
NJBF000076930,-75.01721153,39.39547818,5501
NJBF000109965,-74.98171158,39.8317529,5515
NJBF000096931,-74.78573505,39.66090846,5517
NJBF000086131,-74.7822859,39.5091688,5522